Region,District,Map_link
Katavi,Mpanda Municipal council,https://drive.google.com/file/d/1TwFywtyAuQ3_TBdax-69iaQkungdunCC/view?usp=drive_link
Katavi,Mpimbwe District council,https://drive.google.com/file/d/1dfja5NBygFPmQU3NChTtffdQAWFKgS3-/view?usp=drive_link
Katavi,Nsimbo District council,https://drive.google.com/file/d/12kAT0R19uU_2FLDLe3zuylZSwnrMtiwk/view?usp=drive_link
Kigoma,Buhigwe District council,https://drive.google.com/file/d/15XgCibfm8bJ1NViGmUaRRq5Z1wkNm5dp/view?usp=drive_link
Kigoma,Kakonko District council,https://drive.google.com/file/d/1CWTIH60UWoJLIfKLuicn78lWXnC_sZQT/view?usp=drive_link
Kigoma,Kasulu District council,https://drive.google.com/file/d/1nF7RKRbyrPwdpJ40C0UijRLRMqzs4nN7/view?usp=drive_link
Kigoma,Kasulu Town council,https://drive.google.com/file/d/154T26cUCrF_dSMZ9pTq_im1fO_uEXSqV/view?usp=drive_link
Kigoma,Kibondo District council,https://drive.google.com/file/d/12Yufh4D2xta6oX7k02fhCX-jYLlFLlda/view?usp=drive_link
Kigoma,Kigoma District council,https://drive.google.com/file/d/1B70kpErJtM4SMg4keiHPGTQQodUTYTUE/view?usp=drive_link
Kigoma,Kigoma Ujiji Municipal council,https://drive.google.com/file/d/1pTFRe_JmQzx3as55cDch8LN4MBuuOkEV/view?usp=drive_link
Kigoma,Uvinza District council,https://drive.google.com/file/d/1V4T7Rz1TcWycGQ9utAspT2bxFjxMgOcH/view?usp=drive_link
Kilimanjaro,Hai District council,https://drive.google.com/file/d/1D0JaSZUQeiS0jNPVomWFSG3_8Oekm2Ls/view?usp=drive_link
Kilimanjaro,Moshi District council,https://drive.google.com/file/d/1t4KtgW9eAAe_t6n3WgrJBSkP_a3lUhKh/view?usp=drive_link
Kilimanjaro,Moshi Municipal council,https://drive.google.com/file/d/1SA4E_I1AKWTwMRZZ3jQhC1rNFxKC3hSS/view?usp=drive_link
Kilimanjaro,Mwanga District council,https://drive.google.com/file/d/1JomfwVcoX_6JJjEIsZelD18g91yGju8g/view?usp=drive_link
Kilimanjaro,Rombo District council,https://drive.google.com/file/d/1sD0dwFEdjFHY9ljReakN2uh562GYy5eW/view?usp=drive_link
Kilimanjaro,Same District council,https://drive.google.com/file/d/15Ap-lWrmkRt7aD3JyMI2_xDh1kfhW-jU/view?usp=drive_link
Kilimanjaro,Siha District council,https://drive.google.com/file/d/19EG3Q2Alpp3v2SKumuYKwSuO4htJwYxv/view?usp=drive_link
Kusini Pemba,Chake Chake,https://drive.google.com/file/d/1qJgtZ1IAT3ZNq-ieRUrjc-V7R_O1vFm6/view?usp=drive_link
Kusini Pemba,Mkoani,https://drive.google.com/file/d/1VV748e6SwdB5Q2cZLUAg_T2HHKHDNJqf/view?usp=drive_link
Kusini Unguja,Kati,https://drive.google.com/file/d/1i89QBXvpVY6uWCuc4aHlm4AViuTT2y0L/view?usp=drive_link
Kusini Unguja,Kusini,https://drive.google.com/file/d/1b9FdrONQilinpIDm6U8MJ57qvPHB9siT/view?usp=drive_link
Lindi,Kilwa District council,https://drive.google.com/file/d/1gQ4S4IKdEdn7OdXOJlTh8H_LWqUvZdIn/view?usp=drive_link
Lindi,Lindi District council,https://drive.google.com/file/d/1XNh4OorjUNSUquL8rH5B23QfHFR-0uMY/view?usp=drive_link
Lindi,Lindi Municipal council,https://drive.google.com/file/d/1lGIemwZupU-Klo73CaEsdYIUzyv4YkwX/view?usp=drive_link
Lindi,Liwale District council,https://drive.google.com/file/d/1DVyNE23bk1P1CYZ-uuH2dY_t6_5z4Aok/view?usp=drive_link
Lindi,Nachingwea District council,https://drive.google.com/file/d/1WH0iD0X1Kc-jA0OERNaErUp3aGTn8FWm/view?usp=drive_link
Lindi,Ruangwa District council,https://drive.google.com/file/d/13-2b3HeeIGY6i1jlgiiQyiVbTdRfAbqX/view?usp=drive_link
Manyara,Babati District council,https://drive.google.com/file/d/1-0fTLwAR4dVz-9U-gd-v60Vk6EjtYpXC/view?usp=drive_link
Manyara,Babati Town council,https://drive.google.com/file/d/1RCECHRIPFGkTlsoePBv7-YjwUhqaNSS9/view?usp=drive_link
Manyara,Hanang District council,https://drive.google.com/file/d/1zd1nupO-2klhCHP9Tf2surehXtPP9Elm/view?usp=drive_link
Manyara,Kiteto District council,https://drive.google.com/file/d/1vjUx1flKPLgCiwm-2wEGIXC3Cc_LIy9b/view?usp=drive_link
